STNAME,ACTIVE,ADDRESS,ASSET,CITY,NAME,ROA,ROE,WEBADDR,ZIP,FLDOFF,REGION
Connecticut,0,22 Main Street,"48,570",Southington,The Southington Bank and Trust Company,,, ,6489,Hartford,New York
Connecticut,0,81 West Main Street,"624,655",Waterbury,Colonial Bank of Waterbury,,, ,6720,Hartford,New York
Maine,0,One City Center,"1,699,404",Portland,Fleet Bank of Maine,,, ,4104,Concord,New York
Maine,0,66 Main Street,"539,169",Ellsworth,Union Trust Company,,, ,4605,Concord,New York
Maine,0,8 Washington Street,"55,692",Sanford,Northeast Bank of Sanford,,, ,4073,Concord,New York
Massachusetts,1,1 Lincoln St. Fl 1,"183,994,204",Boston,State Street Bank and Trust Company,0.81,8.6,http://www.statestreet.com:80/,2111,South Boston,New York
Massachusetts,0,30 Court Street,,Boston,United States Trust Company,,, ,2108,South Boston,New York
Massachusetts,0,1414 Massachusetts Avenue,"1,435,310",Cambridge,BayBank Harvard Trust Company,,, ,2139,North Boston,New York
Massachusetts,0,10 North Main Street,"346,808",Fall River,Durfee Attleboro Bank,,, ,2722,South Boston,New York
Massachusetts,0,154 Main Street,"153,274",Gloucester,Bank of New England - North Shore,,, ,1930,North Boston,New York
Massachusetts,0,324 Main Street,"159,727",Greenfield,Shawmut Bank of Franklin County,,, ,1301,Springfield Ma,New York
Massachusetts,0,1495 Hancock Street,"414,795",Quincy,Bank of New England - Hancock,,, ,2169,South Boston,New York
Massachusetts,0,217 Essex Street,"12,474",Salem,Eastern Bank and Trust Company,,, ,1970,North Boston,New York
Massachusetts,0,35 Church Street,"23,379",Winchester,BayBank Winchester Trust Company,,, ,1890,North Boston,New York
New Hampshire,0,160 Main Street,"204,423",Littleton,Indian Head Bank North,,, ,3561,Concord,New York
Alabama,1,100 North Gay Street,"761,061",Auburn,AuburnBank,0.79,8.44,http://www.auburnbank.com:80/,36830,Montgomery,Atlanta
Alabama,0,17 North Court Square,"56,420",Abbeville,Bank of the South,,, ,36310,Montgomery,Atlanta
Alabama,0,2608 Schuler Avenue,"61,089",Gadsden,"Alabama City Bank of Gadsden, Alabama",,, ,35904,Shelby,Atlanta
Alabama,0,923 Attalla Boulevard,"63,927",Attalla,"The Exchange Bank, Attalla, Alabama",,, ,35954,Shelby,Atlanta
Alabama,1,216 North Walnut Avenue,"251,719",Demopolis,Robertson Banking Company,1.53,15.29,http://www.robertsonbanking.com:80/,36732,Montgomery,Atlanta
Alabama,0,801 East Broad Street,"43,800",Gadsden,East Gadsden Bank,,, ,35903,Shelby,Atlanta
Alabama,1,8th Avenue And 13th Street,"158,311",Phenix City,Phenix-Girard Bank,1.03,6.44,http://www.phenix-girard.com:80/,36867,Montgomery,Atlanta
Alabama,0,U.S. Highway 231 North & 12th Avenue,"32,225",Arab,The Bank of Arab,,, ,35016,Shelby,Atlanta
Alabama,0,Depot Street,"12,825",Berry,The Bank of Berry,,, ,35546,Shelby,Atlanta
